Data,Giornale,Link
15/07/2024,PRISMA,https://www.prismacompany.it/prisma-e-team-spqr-dip-diag-la-sapienza-insieme-al-robocup-2024-intervista-daniele-affinita/
15/07/2024,PRISMA,https://www.prismacompany.it/prisma-e-team-spqr-dip-diag-la-sapienza-insieme-al-robocup-2024-intervista-valerio-spagnoli/
15/07/2024,PRISMA,https://www.prismacompany.it/prisma-e-team-spqr-dip-diag-la-sapienza-insieme-al-robocup-2024-intervista-michele-brienza/
15/07/2024,PRISMA,https://www.prismacompany.it/prisma-e-team-spqr-dip-diag-la-sapienza-insieme-al-robocup-2024-intervista-filippo-ansalone/
15/07/2024,PRISMA,https://www.prismacompany.it/prisma-e-team-spqr-dip-diag-la-sapienza-insieme-al-robocup-2024-intervista-flavio-maiorana/
13/06/2024,PRISMA,https://www.prismacompany.it/prisma-e-team-spqr-dip-diag-la-sapienza-insieme-al-robocup-2024/
01/07/2024,SAPIENZA MAGAZINE 1/2024,https://www.uniroma1.it/sites/default/files/field_file_allegati/sapienza_magazine_1-2024_web_rev.pdf
20/10/2023,TGRAI,https://www.rainews.it/video/2023/10/maker-faire-2023-roma-il-calcio-del-futuroin-campo-giocano-i-robot-bdbe3029-e7c9-453c-b322-c8f7b7b1e2a2.html
21/07/2023,MONDODIGITALE,https://www.mondodigitale.org/notizie/giocare-calcio-con-i-robot
31/05/2023,PRISMA,https://www.prismacompany.it/prisma-sponsor-ufficiale-della-squadra-spqr-delluniversita-la-sapienza-per-robocup-2023/
08/07/2022,PRISMA,https://www.prismacompany.it/graziano-specchi-verso-robocup2022/
06/07/2022,PRISMA,https://www.prismacompany.it/robocup-2022-francesco-petri-racconta-cosa-significa-per-lui-far-parte-di-spqr-robocup-team-e-le-sfide-future/
20/05/2022,PRISMA,https://www.prismacompany.it/robocup-2022-rosanna-greco-una-grande-opportunita-per-conoscere-le-reali-applicazioni-di-cio-che-studiamo/
04/05/2022,PRISMA,https://www.prismacompany.it/robocup-2022-emanuele-musumeci-racconta-cosa-significa-per-lui-far-parte-di-spqr-robocup-team-e-le-sfide-future/
10/11/2019,TUTTOSPORT,https://drive.google.com/file/d/1jLag1X7QLOZ6up1BrmDW-la7ibQaf_WX/view
22/07/2019,PRISMA,https://www.prismacompany.it/prisma-con-luniversita-di-roma-la-sapienza-scende-in-campo-alla-robocup-world-championship-2019/
04/07/2019,OGGI,https://labrococo.diag.uniroma1.it/sites/default/files/Oggi.jpg
20/06/2019,MAKERFAIREROME,https://makerfairerome.eu/blog/dopo-la-nao-challenge-di-mfr-i-robot-nao-scendono-in-campo/
27/05/2019,IL BOSONE,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://ilbosone.com/nao-robot-robocup-calcio-robotico/&ved=2ahUKEwikn8nHqauQAxVN2AIHHd7oNkwQxfQBKAB6BAgMEAE&usg=AOvVaw3WrpOtLrBRtY_fgB3ImLTw
19/04/2016,TUTTOCALCIOESTERO,https://www.tuttocalcioestero.it/2016/04/19/il-calcio-dei-robot-intervista-allspqr-team-di-robocup/126950
18/04/2014,GALILEONET,https://www.galileonet.it/chi-vincera-il-mondiale-di-calcio-dei-robot/
